Short description,Description,Full_Description,Assignment group,New_Assignment_Group
can not get into crm,scan work home printer,can not get into crm miss the sale    markhtyete tab from the enterprise portal which give access to crm   so i don t have access to crm,GRP_2,12
please provide access,erp sid      account lock   ,please provide access    receive from   tbvpkjoh wnxzhqoa gmail com   i need access to the follow path    please see pmgzjikq potmrkxy for approval      tbvpkjoh wnxzhqoa company usa plant controller tbvpkjoh wnxzhqoa gmail com mailto tbvpkjoh wnxzhqoa gmail com  ,GRP_16,8
ticket update on inplant       ,skype meeting add get disabled outlook,ticket update on inplant         ticket update on inplant       ,GRP_0,0
unable to login to collaboration platform     password reset,   connect note book vpn         page csn show,unable to login to collaboration platform     password reset unable to login to collaboration platform     password reset,GRP_0,0
all -PRON- call to -PRON- ip phone be go to warehouse toolmail   -PRON- be not even ring  ,reset password mgvpoyqd tnlshpwb use password management tool password reset,all -PRON- call to -PRON- ip phone be go to warehouse toolmail   -PRON- be not even ring    all -PRON- call to -PRON- ip phone be go to warehouse toolmail   -PRON- be not even ring  ,GRP_3,23
sale area selection on opportunity not filter to those in which the account be extend   instead -PRON- show all  ,      receive      hello     face issue sound skype meeting    kindly needful       well,sale area selection on opportunity not filter to those in which the account be extend   instead -PRON- show all    sale area selection on opportunity not filter to those in which the account be extend   see attach email communication include example for account               ,GRP_40,32
pc not detect docking station,regard ticket          fix chg           key user report attach email application show problem today     contact vendor tell -pron- verify recommend run command investigate    also suggest -PRON- involve dba team also verify    seem db miss information   ,pc not detect docking station pc not detect docking station,GRP_3,23
have trouble connect to companysecure,name gqhfieys pkwcdbrv language    browser microsoft internet explorer email gqhfiey pkwcdbrv gmail com customer number    telephone    summary ts        printer still work system restart,have trouble connect to companysecure jeftryhf be have trouble connect to companysecure at remote site and usa  ,GRP_3,23
i can not log into erp  ,probleme mit fixiereinheit       qvncizuf ueiybanz,i can not log into erp     i try reboot the computer and i try log into another computer and i get a blank screen,GRP_41,33
request to reset microsoft online service password for szrglyte stvyhzxn gmail com,   efrjkspc sfhbunrp    send    monday    october                   nwfodmhc exurcwkm        aw    efrjkspc sfhbunrp    window password expire soon     importance    high    hello     change password day day ago     get reminder     please inform change   ,request to reset microsoft online service password for szrglyte stvyhzxn gmail com from   microsoft on behalf of company inc    mailto msonlineservicesteam microsoftonline com    send   monday   october                pm to   nwfodmhc exurcwkm cc      shadakjsdd request to reset microsoft online service password for szrglyte stvyhzxn gmail com importance   high       request to reset user s password        the follow user in -PRON- organization have request a password reset be perform for -PRON- account         szrglyte stvyhzxn gmail com       first name   twejhda       last name   asjadjs    consider contact this user to validate this request be authentic before continue     if -PRON- have determine that this be a valid request   use -PRON- service s admin portal   office       windows intune   window azure   etc    to reset the password for this user     want to let -PRON- user reset -PRON- own password   check out how -PRON- can enable password reset for user in -PRON- organization with just a few click     sincerely    company inc                  this message be send from an unmonitored email address   please do not reply to this message              ,GRP_0,0
usa file server   hostname        have fail hard drive,      receive      hello support       could please give mr    vxpcnrtw xelhoicd permission read write    load upload file global team drive folder gm sge programdnty     many,usa file server   hostname        have fail hard drive usa file server   hostname        have fail hard drive,GRP_12,4
